,Date,Aggregator,Market_Real,Crop,Quantity_Real,Price,Amount,State,Av_Rate,Deviation,Max_Deviation,STD,D/Av,D/STD,Deviation_Factor,STD/Av,Flag
0,2016-10-27,2286,3,4,38.0,20.0,760.0,1,28.26692607,8.26692607004,8.26692607004,4.23506249826,0.292459323294,1.95201985176,0.570886404901,0.149823949296,0
1,2016-10-27,2286,3,4,111.0,22.0,2442.0,1,28.26692607,6.26692607004,8.26692607004,4.23506249826,0.221705255623,1.47977180328,0.328073185909,0.149823949296,0
2,2016-11-02,2286,3,4,134.0,25.0,3350.0,1,33.8993670886,8.89936708861,8.89936708861,3.93756650473,0.262523104498,2.26011854731,0.593333337573,0.11615457287,0
3,2016-11-02,2286,3,4,15.0,25.0,375.0,1,33.8993670886,8.89936708861,8.89936708861,3.93756650473,0.262523104498,2.26011854731,0.593333337573,0.11615457287,0
4,2016-09-06,2584,3,5,82.0,27.0,2214.0,1,26.5808656036,0.419134396355,1.58086560364,0.988405760692,0.0157682749164,0.424050944485,0.00668655187121,0.0371848597947,0
5,2016-09-06,2584,3,5,196.0,27.0,5292.0,1,26.5808656036,0.419134396355,1.58086560364,0.988405760692,0.0157682749164,0.424050944485,0.00668655187121,0.0371848597947,0
6,2016-09-06,2584,3,5,46.0,28.0,1288.0,1,26.5808656036,1.41913439636,1.58086560364,0.988405760692,0.0533893221356,1.43578118703,0.0766553843106,0.0371848597947,0
7,2017-05-11,2585,3,17,96.0,15.0,1440.0,1,14.2313787639,0.768621236133,2.23137876387,1.53264461808,0.054008908686,0.501499974011,0.0270854663024,0.107694738753,0
8,2017-07-18,2585,3,2,111.0,22.0,2442.0,1,20.2240161453,1.77598385469,1.77598385469,0.630752770313,0.0878155872667,2.81565763685,0.247258628922,0.0311883043299,0
9,2016-10-13,2585,3,17,55.0,16.0,880.0,1,17.1143911439,1.11439114391,1.11439114391,0.993435788662,0.0651142733937,1.12175457803,0.0730422342745,0.058046808695,0
10,2016-10-13,2585,3,17,65.0,16.0,1040.0,1,17.1143911439,1.11439114391,1.11439114391,0.993435788662,0.0651142733937,1.12175457803,0.0730422342745,0.058046808695,0
11,2016-09-21,2585,3,4,150.0,20.0,3000.0,1,24.6428571429,4.64285714286,5.35714285714,4.98722858706,0.188405797101,0.930949336251,0.175396251757,0.202380290489,0
12,2016-10-22,2585,3,4,108.0,26.0,2808.0,1,31.3983050847,5.39830508475,5.39830508475,2.94048258033,0.171929824561,1.8358568491,0.315638545985,0.0936509971603,0
13,2016-11-02,2585,3,4,210.0,28.0,5880.0,1,33.8993670886,5.89936708861,8.89936708861,3.93756650473,0.174025877037,1.49822665383,0.260730207433,0.11615457287,0
14,2017-08-10,2585,3,17,83.0,24.0,1992.0,1,27.0894245723,3.08942457232,6.08942457232,3.45181406701,0.114045411488,0.895014769726,0.102072327701,0.127422937973,0
15,2017-08-02,2585,3,17,141.0,21.0,2961.0,1,21.7402597403,0.74025974026,6.25974025974,3.66415631367,0.0340501792115,0.202027336415,0.00687906701056,0.168542434977,0
16,2016-10-27,2585,3,4,180.0,25.0,4500.0,1,28.26692607,3.26692607004,8.26692607004,4.23506249826,0.115574154117,0.771399730554,0.089153871345,0.149823949296,0
17,2017-08-02,2585,3,17,166.0,16.0,2656.0,1,21.7402597403,5.74025974026,6.25974025974,3.66415631367,0.26403823178,1.56659794203,0.413641750524,0.168542434977,0
18,2017-05-07,2585,3,9,210.0,1.0,210.0,1,3.51834862385,2.51834862385,2.51834862385,1.1013473931,0.715775749674,2.28660696854,1.63669781712,0.313029637153,0
19,2017-08-10,2585,3,17,132.0,24.0,3168.0,1,27.0894245723,3.08942457232,6.08942457232,3.45181406701,0.114045411488,0.895014769726,0.102072327701,0.127422937973,0
